_ws.col.No.,_ws.col.Time,ip.src,ip.dst,tcp.seq,tcp.ack,tcp.len,tcp.port
"87","0.035265000","69.148.243.171","38.107.216.37","1","129825","0","49048"
"88","0.035265000","69.148.243.171","38.107.216.37","1","137065","0","49048"
"89","0.035265000","69.148.243.171","38.107.216.37","1","139961","0","49048"
"90","0.035290000","38.107.216.37","69.148.243.171","151545","1","11584","44465"
"91","0.035310000","38.107.216.37","69.148.243.171","163129","1","11584","44465"
"92","0.035520000","69.148.243.171","38.107.216.37","1","141409","0","49048"
"93","0.035526000","69.148.243.171","38.107.216.37","1","148649","0","49048"
"94","0.035526000","69.148.243.171","38.107.216.37","1","151545","0","49048"
"95","0.035530000","38.107.216.37","69.148.243.171","174713","1","11584","44465"
"96","0.038530000","69.148.243.171","38.107.216.37","1","152993","0","49048"
"97","0.038530000","69.148.243.171","38.107.216.37","1","160233","0","49048"
"98","0.038530000","69.148.243.171","38.107.216.37","1","163129","0","49048"
"99","0.038542000","38.107.216.37","69.148.243.171","186297","1","13032","44465"
"100","0.038734000","69.148.243.171","38.107.216.37","1","164577","0","49048"
"101","0.038741000","69.148.243.171","38.107.216.37","1","171817","0","49048"
"102","0.038741000","69.148.243.171","38.107.216.37","1","174713","0","49048"
"103","0.039525000","69.148.243.171","38.107.216.37","1","176161","0","49048"
"104","0.039525000","69.148.243.171","38.107.216.37","1","183401","0","49048"
"105","0.039545000","38.107.216.37","69.148.243.171","199329","1","13032","44465"
"106","0.039991000","69.148.243.171","38.107.216.37","1","186297","0","49048"
"107","0.040005000","38.107.216.37","69.148.243.171","212361","1","10136","44465"
"108","0.041510000","69.148.243.171","38.107.216.37","1","199329","0","49048"
"109","0.041531000","38.107.216.37","69.148.243.171","222497","1","13032","44465"
"110","0.042770000","69.148.243.171","38.107.216.37","1","208017","0","49048"
"111","0.042770000","69.148.243.171","38.107.216.37","1","212361","0","49048"
"112","0.042789000","38.107.216.37","69.148.243.171","235529","1","4344","44465"
"113","0.043291000","69.148.243.171","38.107.216.37","1","219601","0","49048"
"114","0.043292000","69.148.243.171","38.107.216.37","1","222497","0","49048"
"115","0.043312000","38.107.216.37","69.148.243.171","239873","1","14480","44465"
"116","0.044514000","69.148.243.171","38.107.216.37","1","229737","0","49048"
"117","0.044542000","38.107.216.37","69.148.243.171","254353","1","14480","44465"
"118","0.044744000","69.148.243.171","38.107.216.37","1","235529","0","49048"
"119","0.046009000","69.148.243.171","38.107.216.37","1","239873","0","49048"
"120","0.046028000","38.107.216.37","69.148.243.171","268833","1","10136","44465"
"121","0.046502000","69.148.243.171","38.107.216.37","1","247113","0","49048"
"122","0.046503000","69.148.243.171","38.107.216.37","1","254353","0","49048"
"123","0.046517000","38.107.216.37","69.148.243.171","278969","1","14480","44465"
"124","0.047519000","69.148.243.171","38.107.216.37","1","261593","0","49048"
"125","0.047519000","69.148.243.171","38.107.216.37","1","268833","0","49048"
"126","0.047537000","38.107.216.37","69.148.243.171","293449","1","11584","44465"
"127","0.047552000","38.107.216.37","69.148.243.171","305033","1","4344","44465"
"128","0.049262000","69.148.243.171","38.107.216.37","1","276073","0","49048"
"129","0.049262000","69.148.243.171","38.107.216.37","1","278969","0","49048"
"130","0.049481000","69.148.243.171","38.107.216.37","1","284761","0","49048"
"131","0.049485000","38.107.216.37","69.148.243.171","309377","1","14480","44465"
"132","0.049493000","69.148.243.171","38.107.216.37","1","293449","0","49048"
"133","0.050743000","69.148.243.171","38.107.216.37","1","300689","0","49048"
