_ws.col.No.,_ws.col.Time,ip.src,ip.dst,tcp.seq,tcp.ack,tcp.len,tcp.port
"4512","1.103251000","69.148.243.171","38.107.216.37","1","83709833","0","49048"
"4513","1.103251000","69.148.243.171","38.107.216.37","1","83767753","0","49048"
"4514","1.103268000","38.107.216.37","69.148.243.171","84100793","1","65160","44465"
"4515","1.104006000","69.148.243.171","38.107.216.37","1","83774993","0","49048"
"4516","1.104013000","38.107.216.37","69.148.243.171","84165953","1","65160","44465"
"4517","1.104020000","69.148.243.171","38.107.216.37","1","83850289","0","49048"
"4518","1.105276000","69.148.243.171","38.107.216.37","1","83905313","0","49048"
"4519","1.105276000","69.148.243.171","38.107.216.37","1","83942961","0","49048"
"4520","1.105286000","38.107.216.37","69.148.243.171","84231113","1","65160","44465"
"4521","1.105480000","69.148.243.171","38.107.216.37","1","83970473","0","49048"
"4522","1.105483000","38.107.216.37","69.148.243.171","84296273","1","65160","44465"
"4523","1.105487000","38.107.216.37","69.148.243.171","84361433","1","65160","44465"
"4524","1.105987000","69.148.243.171","38.107.216.37","1","84035633","0","49048"
"4525","1.105996000","69.148.243.171","38.107.216.37","1","84100793","0","49048"
"4526","1.106002000","38.107.216.37","69.148.243.171","84426593","1","65160","44465"
"4527","1.106504000","69.148.243.171","38.107.216.37","1","84112377","0","49048"
"4528","1.106512000","38.107.216.37","69.148.243.171","84491753","1","65160","44465"
"4529","1.106737000","69.148.243.171","38.107.216.37","1","84131201","0","49048"
"4530","1.107247000","69.148.243.171","38.107.216.37","1","84141337","0","49048"
"4531","1.107247000","69.148.243.171","38.107.216.37","1","84160161","0","49048"
"4532","1.107259000","38.107.216.37","69.148.243.171","84556913","1","65160","44465"
"4533","1.107501000","69.148.243.171","38.107.216.37","1","84165953","0","49048"
"4534","1.107509000","69.148.243.171","38.107.216.37","1","84183329","0","49048"
"4535","1.107991000","69.148.243.171","38.107.216.37","1","84220977","0","49048"
"4536","1.107991000","69.148.243.171","38.107.216.37","1","84231113","0","49048"
"4537","1.108014000","38.107.216.37","69.148.243.171","84622073","1","65160","44465"
"4538","1.108495000","69.148.243.171","38.107.216.37","1","84239801","0","49048"
"4539","1.108731000","69.148.243.171","38.107.216.37","1","84254281","0","49048"
"4540","1.108731000","69.148.243.171","38.107.216.37","1","84273105","0","49048"
"4541","1.109271000","69.148.243.171","38.107.216.37","1","84297721","0","49048"
"4542","1.109291000","38.107.216.37","69.148.243.171","84687233","1","65160","44465"
"4543","1.109487000","69.148.243.171","38.107.216.37","1","84333921","0","49048"
"4544","1.110508000","69.148.243.171","38.107.216.37","1","84361433","0","49048"
"4545","1.110509000","69.148.243.171","38.107.216.37","1","84375913","0","49048"
"4546","1.110509000","69.148.243.171","38.107.216.37","1","84432385","0","49048"
"4547","1.110533000","38.107.216.37","69.148.243.171","84752393","1","65160","44465"
"4548","1.111273000","69.148.243.171","38.107.216.37","1","84497545","0","49048"
"4549","1.111282000","38.107.216.37","69.148.243.171","84817553","1","65160","44465"
"4550","1.112745000","69.148.243.171","38.107.216.37","1","84556913","0","49048"
"4551","1.112745000","69.148.243.171","38.107.216.37","1","84577185","0","49048"
"4552","1.112755000","38.107.216.37","69.148.243.171","84882713","1","65160","44465"
"4553","1.113506000","69.148.243.171","38.107.216.37","1","84622073","0","49048"
"4554","1.113506000","69.148.243.171","38.107.216.37","1","84669857","0","49048"
"4555","1.113515000","38.107.216.37","69.148.243.171","84947873","1","65160","44465"
"4556","1.113523000","38.107.216.37","69.148.243.171","85013033","1","65160","44465"
"4557","1.114523000","69.148.243.171","38.107.216.37","1","84687233","0","49048"
"4558","1.114523000","69.148.243.171","38.107.216.37","1","84752393","0","49048"
"4559","1.114554000","38.107.216.37","69.148.243.171","85078193","1","65160","44465"
"4560","1.114732000","69.148.243.171","38.107.216.37","1","84801625","0","49048"
"4561","1.114735000","38.107.216.37","69.148.243.171","85143353","1","65160","44465"
"4562","1.115322000","69.148.243.171","38.107.216.37","1","84817553","0","49048"
"4563","1.115322000","69.148.243.171","38.107.216.37","1","84852305","0","49048"
"4564","1.115322000","69.148.243.171","38.107.216.37","1","84882713","0","49048"
"4565","1.115344000","38.107.216.37","69.148.243.171","85208513","1","65160","44465"
"4566","1.115366000","38.107.216.37","69.148.243.171","85273673","1","65160","44465"
"4567","1.115983000","69.148.243.171","38.107.216.37","1","84892849","0","49048"
"4568","1.115992000","69.148.243.171","38.107.216.37","1","84908777","0","49048"
"4569","1.116497000","69.148.243.171","38.107.216.37","1","84927601","0","49048"
"4570","1.116739000","69.148.243.171","38.107.216.37","1","84947873","0","49048"
"4571","1.116740000","69.148.243.171","38.107.216.37","1","84971041","0","49048"
"4572","1.116754000","38.107.216.37","69.148.243.171","85338833","1","65160","44465"
"4573","1.117246000","69.148.243.171","38.107.216.37","1","85002897","0","49048"
"4574","1.118042000","69.148.243.171","38.107.216.37","1","85013033","0","49048"
"4575","1.118043000","69.148.243.171","38.107.216.37","1","85043441","0","49048"
"4576","1.118048000","38.107.216.37","69.148.243.171","85403993","1","65160","44465"
"4577","1.118750000","69.148.243.171","38.107.216.37","1","85078193","0","49048"
"4578","1.118750000","69.148.243.171","38.107.216.37","1","85098465","0","49048"
"4579","1.118762000","38.107.216.37","69.148.243.171","85469153","1","65160","44465"
"4580","1.119495000","69.148.243.171","38.107.216.37","1","85143353","0","49048"
"4581","1.119495000","69.148.243.171","38.107.216.37","1","85165073","0","49048"
"4582","1.120521000","69.148.243.171","38.107.216.37","1","85208513","0","49048"
"4583","1.120522000","69.148.243.171","38.107.216.37","1","85243265","0","49048"
"4584","1.120531000","38.107.216.37","69.148.243.171","85534313","1","65160","44465"
"4585","1.120537000","38.107.216.37","69.148.243.171","85599473","1","65160","44465"
"4586","1.121265000","69.148.243.171","38.107.216.37","1","85273673","0","49048"
"4587","1.121265000","69.148.243.171","38.107.216.37","1","85333041","0","49048"
"4588","1.121286000","38.107.216.37","69.148.243.171","85664633","1","65160","44465"
"4589","1.122014000","69.148.243.171","38.107.216.37","1","85338833","0","49048"
"4590","1.122014000","69.148.243.171","38.107.216.37","1","85403993","0","49048"
"4591","1.122023000","38.107.216.37","69.148.243.171","85729793","1","65160","44465"
"4592","1.122510000","69.148.243.171","38.107.216.37","1","85454673","0","49048"
"4593","1.122529000","38.107.216.37","69.148.243.171","85794953","1","65160","44465"
"4594","1.122733000","69.148.243.171","38.107.216.37","1","85469153","0","49048"
"4595","1.122734000","69.148.243.171","38.107.216.37","1","85508249","0","49048"
"4596","1.122742000","69.148.243.171","38.107.216.37","1","85534313","0","49048"
"4597","1.122751000","38.107.216.37","69.148.243.171","85860113","1","65160","44465"
"4598","1.122766000","38.107.216.37","69.148.243.171","85925273","1","65160","44465"
"4599","1.123025000","38.107.216.37","69.148.243.171","85990433","1","3944","44465"
"4600","1.123500000","69.148.243.171","38.107.216.37","1","85543001","0","49048"
"4601","1.123989000","69.148.243.171","38.107.216.37","1","85558929","0","49048"
"4602","1.123989000","69.148.243.171","38.107.216.37","1","85580649","0","49048"
"4603","1.124732000","69.148.243.171","38.107.216.37","1","85599473","0","49048"
"4604","1.124732000","69.148.243.171","38.107.216.37","1","85609609","0","49048"
"4605","1.124742000","38.107.216.37","69.148.243.171","85994377","1","61216","44465"
"4606","1.124753000","69.148.243.171","38.107.216.37","1","85654497","0","49048"
"4607","1.126018000","69.148.243.171","38.107.216.37","1","85664633","0","49048"
"4608","1.126019000","69.148.243.171","38.107.216.37","1","85703729","0","49048"
"4609","1.126039000","38.107.216.37","69.148.243.171","86055593","1","65160","44465"
"4610","1.126764000","69.148.243.171","38.107.216.37","1","85729793","0","49048"
"4611","1.126764000","69.148.243.171","38.107.216.37","1","85768889","0","49048"
"4612","1.126785000","38.107.216.37","69.148.243.171","86120753","1","65160","44465"
"4613","1.127536000","69.148.243.171","38.107.216.37","1","85794953","0","49048"
"4614","1.127537000","69.148.243.171","38.107.216.37","1","85844185","0","49048"
"4615","1.127557000","38.107.216.37","69.148.243.171","86185913","1","65160","44465"
"4616","1.128616000","69.148.243.171","38.107.216.37","1","85860113","0","49048"
"4617","1.128616000","69.148.243.171","38.107.216.37","1","85929617","0","49048"
"4618","1.128626000","38.107.216.37","69.148.243.171","86251073","1","65160","44465"
"4619","1.129269000","69.148.243.171","38.107.216.37","1","85990433","0","49048"
"4620","1.129269000","69.148.243.171","38.107.216.37","1","86004513","0","49048"
"4621","1.129269000","69.148.243.171","38.107.216.37","1","86055593","0","49048"
"4622","1.129291000","38.107.216.37","69.148.243.171","86316233","1","65160","44465"
"4623","1.129313000","38.107.216.37","69.148.243.171","86381393","1","65160","44465"
"4624","1.129497000","69.148.243.171","38.107.216.37","1","86078761","0","49048"
"4625","1.129504000","38.107.216.37","69.148.243.171","86446553","1","65160","44465"
"4626","1.129998000","69.148.243.171","38.107.216.37","1","86119305","0","49048"
"4627","1.130525000","69.148.243.171","38.107.216.37","1","86143921","0","49048"
"4628","1.130544000","38.107.216.37","69.148.243.171","86511713","1","65160","44465"
"4629","1.130737000","69.148.243.171","38.107.216.37","1","86185913","0","49048"
"4630","1.130737000","69.148.243.171","38.107.216.37","1","86207633","0","49048"
"4631","1.130750000","38.107.216.37","69.148.243.171","86576873","1","65160","44465"
"4632","1.131257000","69.148.243.171","38.107.216.37","1","86240937","0","49048"
"4633","1.131484000","69.148.243.171","38.107.216.37","1","86251073","0","49048"
"4634","1.131484000","69.148.243.171","38.107.216.37","1","86253969","0","49048"
"4635","1.131502000","38.107.216.37","69.148.243.171","86642033","1","65160","44465"
"4636","1.131982000","69.148.243.171","38.107.216.37","1","86264105","0","49048"
"4637","1.131983000","69.148.243.171","38.107.216.37","1","86285825","0","49048"
"4638","1.132503000","69.148.243.171","38.107.216.37","1","86311889","0","49048"
"4639","1.133255000","69.148.243.171","38.107.216.37","1","86316233","0","49048"
"4640","1.133255000","69.148.243.171","38.107.216.37","1","86336505","0","49048"
"4641","1.133255000","69.148.243.171","38.107.216.37","1","86379945","0","49048"
"4642","1.133265000","38.107.216.37","69.148.243.171","86707193","1","65160","44465"
"4643","1.133993000","69.148.243.171","38.107.216.37","1","86430625","0","49048"
"4644","1.134004000","38.107.216.37","69.148.243.171","86772353","1","65160","44465"
"4645","1.135250000","69.148.243.171","38.107.216.37","1","86446553","0","49048"
"4646","1.135250000","69.148.243.171","38.107.216.37","1","86495785","0","49048"
"4647","1.135263000","38.107.216.37","69.148.243.171","86837513","1","65160","44465"
"4648","1.135996000","69.148.243.171","38.107.216.37","1","86511713","0","49048"
"4649","1.135996000","69.148.243.171","38.107.216.37","1","86573977","0","49048"
"4650","1.136003000","38.107.216.37","69.148.243.171","86902673","1","65160","44465"
"4651","1.136509000","69.148.243.171","38.107.216.37","1","86576873","0","49048"
"4652","1.136509000","69.148.243.171","38.107.216.37","1","86659409","0","49048"
"4653","1.136518000","38.107.216.37","69.148.243.171","86967833","1","65160","44465"
"4654","1.137236000","69.148.243.171","38.107.216.37","1","86707193","0","49048"
"4655","1.137236000","69.148.243.171","38.107.216.37","1","86762217","0","49048"
"4656","1.137245000","38.107.216.37","69.148.243.171","87032993","1","65160","44465"
"4657","1.137253000","38.107.216.37","69.148.243.171","87098153","1","65160","44465"
"4658","1.138035000","69.148.243.171","38.107.216.37","1","86772353","0","49048"
"4659","1.138035000","69.148.243.171","38.107.216.37","1","86804209","0","49048"
"4660","1.138035000","69.148.243.171","38.107.216.37","1","86837513","0","49048"
"4661","1.138057000","38.107.216.37","69.148.243.171","87163313","1","65160","44465"
"4662","1.138768000","69.148.243.171","38.107.216.37","1","86849097","0","49048"
"4663","1.138768000","69.148.243.171","38.107.216.37","1","86870817","0","49048"
"4664","1.138786000","38.107.216.37","69.148.243.171","87228473","1","65160","44465"
"4665","1.139250000","69.148.243.171","38.107.216.37","1","86898329","0","49048"
"4666","1.139488000","69.148.243.171","38.107.216.37","1","86902673","0","49048"
"4667","1.139489000","69.148.243.171","38.107.216.37","1","86917153","0","49048"
"4668","1.139489000","69.148.243.171","38.107.216.37","1","86954801","0","49048"
"4669","1.139503000","38.107.216.37","69.148.243.171","87293633","1","65160","44465"
"4670","1.140487000","69.148.243.171","38.107.216.37","1","86967833","0","49048"
"4671","1.140488000","69.148.243.171","38.107.216.37","1","86993897","0","49048"
"4672","1.140504000","38.107.216.37","69.148.243.171","87358793","1","65160","44465"
"4673","1.141250000","69.148.243.171","38.107.216.37","1","87032993","0","49048"
"4674","1.141250000","69.148.243.171","38.107.216.37","1","87035889","0","49048"
"4675","1.141250000","69.148.243.171","38.107.216.37","1","87088017","0","49048"
"4676","1.141261000","38.107.216.37","69.148.243.171","87423953","1","65160","44465"
"4677","1.142501000","69.148.243.171","38.107.216.37","1","87098153","0","49048"
"4678","1.142501000","69.148.243.171","38.107.216.37","1","87145937","0","49048"
"4679","1.142509000","38.107.216.37","69.148.243.171","87489113","1","65160","44465"
"4680","1.143255000","69.148.243.171","38.107.216.37","1","87163313","0","49048"
"4681","1.143255000","69.148.243.171","38.107.216.37","1","87228473","0","49048"
"4682","1.143263000","38.107.216.37","69.148.243.171","87554273","1","65160","44465"
"4683","1.143993000","69.148.243.171","38.107.216.37","1","87293633","0","49048"
"4684","1.143994000","69.148.243.171","38.107.216.37","1","87318249","0","49048"
"4685","1.144017000","38.107.216.37","69.148.243.171","87619433","1","65160","44465"
"4686","1.144800000","69.148.243.171","38.107.216.37","1","87358793","0","49048"
"4687","1.144800000","69.148.243.171","38.107.216.37","1","87373273","0","49048"
"4688","1.144821000","38.107.216.37","69.148.243.171","87684593","1","65160","44465"
"4689","1.145265000","69.148.243.171","38.107.216.37","1","87423953","0","49048"
"4690","1.145265000","69.148.243.171","38.107.216.37","1","87428297","0","49048"
"4691","1.145286000","38.107.216.37","69.148.243.171","87749753","1","65160","44465"
"4692","1.145479000","69.148.243.171","38.107.216.37","1","87489113","0","49048"
"4693","1.145479000","69.148.243.171","38.107.216.37","1","87494905","0","49048"
"4694","1.145490000","38.107.216.37","69.148.243.171","87814913","1","65160","44465"
"4695","1.146008000","69.148.243.171","38.107.216.37","1","87512281","0","49048"
"4696","1.146025000","38.107.216.37","69.148.243.171","87880073","1","65160","44465"
"4697","1.146518000","69.148.243.171","38.107.216.37","1","87539793","0","49048"
"4698","1.146734000","69.148.243.171","38.107.216.37","1","87554273","0","49048"
"4699","1.146734000","69.148.243.171","38.107.216.37","1","87561513","0","49048"
"4700","1.146744000","38.107.216.37","69.148.243.171","87945233","1","65160","44465"
"4701","1.147266000","69.148.243.171","38.107.216.37","1","87600609","0","49048"
"4702","1.147477000","69.148.243.171","38.107.216.37","1","87619433","0","49048"
"4703","1.147481000","38.107.216.37","69.148.243.171","88010393","1","65160","44465"
"4704","1.147489000","69.148.243.171","38.107.216.37","1","87623777","0","49048"
"4705","1.147489000","69.148.243.171","38.107.216.37","1","87665769","0","49048"
"4706","1.147999000","69.148.243.171","38.107.216.37","1","87684593","0","49048"
"4707","1.148005000","38.107.216.37","69.148.243.171","88075553","1","65160","44465"
"4708","1.148488000","69.148.243.171","38.107.216.37","1","87710657","0","49048"
"4709","1.148735000","69.148.243.171","38.107.216.37","1","87748305","0","49048"
"4710","1.149250000","69.148.243.171","38.107.216.37","1","87794641","0","49048"
"4711","1.149266000","38.107.216.37","69.148.243.171","88140713","1","65160","44465"
"4712","1.150507000","69.148.243.171","38.107.216.37","1","87814913","0","49048"
"4713","1.150507000","69.148.243.171","38.107.216.37","1","87848217","0","49048"
"4714","1.150512000","38.107.216.37","69.148.243.171","88205873","1","65160","44465"
"4715","1.151261000","69.148.243.171","38.107.216.37","1","87880073","0","49048"
"4716","1.151261000","69.148.243.171","38.107.216.37","1","87917721","0","49048"
"4717","1.151278000","38.107.216.37","69.148.243.171","88271033","1","65160","44465"
"4718","1.152000000","69.148.243.171","38.107.216.37","1","87945233","0","49048"
"4719","1.152000000","69.148.243.171","38.107.216.37","1","87995913","0","49048"
"4720","1.152013000","38.107.216.37","69.148.243.171","88336193","1","65160","44465"
"4721","1.152752000","69.148.243.171","38.107.216.37","1","88010393","0","49048"
"4722","1.152752000","69.148.243.171","38.107.216.37","1","88082793","0","49048"
"4723","1.152767000","38.107.216.37","69.148.243.171","88401353","1","65160","44465"
"4724","1.153297000","69.148.243.171","38.107.216.37","1","88140713","0","49048"
"4725","1.153316000","38.107.216.37","69.148.243.171","88466513","1","65160","44465"
"4726","1.153481000","69.148.243.171","38.107.216.37","1","88205873","0","49048"
"4727","1.153485000","38.107.216.37","69.148.243.171","88531673","1","65160","44465"
"4728","1.153491000","69.148.243.171","38.107.216.37","1","88211665","0","49048"
"4729","1.153995000","69.148.243.171","38.107.216.37","1","88230489","0","49048"
"4730","1.154002000","38.107.216.37","69.148.243.171","88596833","1","65160","44465"
"4731","1.154531000","69.148.243.171","38.107.216.37","1","88259449","0","49048"
"4732","1.154737000","69.148.243.171","38.107.216.37","1","88271033","0","49048"
"4733","1.154747000","38.107.216.37","69.148.243.171","88661993","1","65160","44465"
"4734","1.154763000","69.148.243.171","38.107.216.37","1","88279721","0","49048"
"4735","1.155266000","69.148.243.171","38.107.216.37","1","88318817","0","49048"
"4736","1.155480000","69.148.243.171","38.107.216.37","1","88336193","0","49048"
"4737","1.155483000","38.107.216.37","69.148.243.171","88727153","1","65160","44465"
"4738","1.155490000","69.148.243.171","38.107.216.37","1","88343433","0","49048"
"4739","1.155980000","69.148.243.171","38.107.216.37","1","88386873","0","49048"
"4740","1.156494000","69.148.243.171","38.107.216.37","1","88401353","0","49048"
"4741","1.156494000","69.148.243.171","38.107.216.37","1","88414385","0","49048"
"4742","1.156502000","38.107.216.37","69.148.243.171","88792313","1","65160","44465"
"4743","1.156731000","69.148.243.171","38.107.216.37","1","88460721","0","49048"
"4744","1.157501000","69.148.243.171","38.107.216.37","1","88466513","0","49048"
"4745","1.157502000","69.148.243.171","38.107.216.37","1","88512849","0","49048"
"4746","1.157512000","38.107.216.37","69.148.243.171","88857473","1","65160","44465"
"4747","1.158500000","69.148.243.171","38.107.216.37","1","88531673","0","49048"
"4748","1.158500000","69.148.243.171","38.107.216.37","1","88580905","0","49048"
"4749","1.158508000","38.107.216.37","69.148.243.171","88922633","1","65160","44465"
"4750","1.159495000","69.148.243.171","38.107.216.37","1","88596833","0","49048"
"4751","1.159495000","69.148.243.171","38.107.216.37","1","88660545","0","49048"
"4752","1.159503000","38.107.216.37","69.148.243.171","88987793","1","65160","44465"
"4753","1.159986000","69.148.243.171","38.107.216.37","1","88727153","0","49048"
"4754","1.159986000","69.148.243.171","38.107.216.37","1","88751769","0","49048"
"4755","1.159994000","38.107.216.37","69.148.243.171","89052953","1","65160","44465"
"4756","1.160727000","69.148.243.171","38.107.216.37","1","88792313","0","49048"
"4757","1.160732000","38.107.216.37","69.148.243.171","89118113","1","65160","44465"
"4758","1.160740000","69.148.243.171","38.107.216.37","1","88808241","0","49048"
"4759","1.160742000","38.107.216.37","69.148.243.171","89183273","1","65160","44465"
"4760","1.161262000","69.148.243.171","38.107.216.37","1","88857473","0","49048"
"4761","1.161497000","69.148.243.171","38.107.216.37","1","88898017","0","49048"
"4762","1.161503000","38.107.216.37","69.148.243.171","89248433","1","65160","44465"
"4763","1.162072000","69.148.243.171","38.107.216.37","1","88922633","0","49048"
"4764","1.162092000","38.107.216.37","69.148.243.171","89313593","1","65160","44465"
"4765","1.162531000","69.148.243.171","38.107.216.37","1","88947249","0","49048"
"4766","1.162531000","69.148.243.171","38.107.216.37","1","88983449","0","49048"
"4767","1.162531000","69.148.243.171","38.107.216.37","1","88987793","0","49048"
"4768","1.162531000","69.148.243.171","38.107.216.37","1","88990689","0","49048"
"4769","1.162726000","69.148.243.171","38.107.216.37","1","88999377","0","49048"
"4770","1.163248000","69.148.243.171","38.107.216.37","1","89013857","0","49048"
"4771","1.163248000","69.148.243.171","38.107.216.37","1","89039921","0","49048"
"4772","1.163253000","38.107.216.37","69.148.243.171","89378753","1","65160","44465"
"4773","1.163984000","69.148.243.171","38.107.216.37","1","89052953","0","49048"
"4774","1.163992000","38.107.216.37","69.148.243.171","89443913","1","65160","44465"
"4775","1.163998000","69.148.243.171","38.107.216.37","1","89071777","0","49048"
"4776","1.163998000","69.148.243.171","38.107.216.37","1","89119561","0","49048"
"4777","1.164772000","69.148.243.171","38.107.216.37","1","89174585","0","49048"
"4778","1.164782000","38.107.216.37","69.148.243.171","89509073","1","65160","44465"
"4779","1.166011000","69.148.243.171","38.107.216.37","1","89183273","0","49048"
"4780","1.166012000","69.148.243.171","38.107.216.37","1","89239745","0","49048"
"4781","1.166025000","38.107.216.37","69.148.243.171","89574233","1","65160","44465"
"4782","1.166755000","69.148.243.171","38.107.216.37","1","89248433","0","49048"
"4783","1.166755000","69.148.243.171","38.107.216.37","1","89319385","0","49048"
"4784","1.166769000","38.107.216.37","69.148.243.171","89639393","1","65160","44465"
"4785","1.167253000","69.148.243.171","38.107.216.37","1","89378753","0","49048"
"4786","1.167258000","38.107.216.37","69.148.243.171","89704553","1","65160","44465"
"4787","1.167501000","69.148.243.171","38.107.216.37","1","89443913","0","49048"
"4788","1.167503000","38.107.216.37","69.148.243.171","89769713","1","65160","44465"
"4789","1.168504000","69.148.243.171","38.107.216.37","1","89509073","0","49048"
"4790","1.168514000","38.107.216.37","69.148.243.171","89834873","1","65160","44465"
"4791","1.168749000","69.148.243.171","38.107.216.37","1","89561201","0","49048"
"4792","1.168752000","38.107.216.37","69.148.243.171","89900033","1","65160","44465"
"4793","1.169267000","69.148.243.171","38.107.216.37","1","89574233","0","49048"
"4794","1.169267000","69.148.243.171","38.107.216.37","1","89585817","0","49048"
"4795","1.169289000","38.107.216.37","69.148.243.171","89965193","1","65160","44465"
"4796","1.169512000","69.148.243.171","38.107.216.37","1","89607537","0","49048"
"4797","1.170014000","69.148.243.171","38.107.216.37","1","89637945","0","49048"
"4798","1.170524000","69.148.243.171","38.107.216.37","1","89655321","0","49048"
"4799","1.170524000","69.148.243.171","38.107.216.37","1","89691521","0","49048"
"4800","1.170533000","38.107.216.37","69.148.243.171","90030353","1","65160","44465"
"4801","1.171251000","69.148.243.171","38.107.216.37","1","89704553","0","49048"
"4802","1.171252000","69.148.243.171","38.107.216.37","1","89729169","0","49048"
"4803","1.171265000","38.107.216.37","69.148.243.171","90095513","1","65160","44465"
"4804","1.171519000","69.148.243.171","38.107.216.37","1","89781297","0","49048"
"4805","1.171984000","69.148.243.171","38.107.216.37","1","89837769","0","49048"
"4806","1.171997000","38.107.216.37","69.148.243.171","90160673","1","65160","44465"
"4807","1.172770000","69.148.243.171","38.107.216.37","1","89910169","0","49048"
"4808","1.172816000","38.107.216.37","69.148.243.171","90225833","1","65160","44465"
"4809","1.174492000","69.148.243.171","38.107.216.37","1","89965193","0","49048"
"4810","1.174492000","69.148.243.171","38.107.216.37","1","89999945","0","49048"
"4811","1.174511000","38.107.216.37","69.148.243.171","90290993","1","65160","44465"
"4812","1.175277000","69.148.243.171","38.107.216.37","1","90030353","0","49048"
"4813","1.175277000","69.148.243.171","38.107.216.37","1","90072345","0","49048"
"4814","1.175286000","38.107.216.37","69.148.243.171","90356153","1","65160","44465"
"4815","1.175292000","38.107.216.37","69.148.243.171","90421313","1","65160","44465"
"4816","1.175981000","69.148.243.171","38.107.216.37","1","90095513","0","49048"
"4817","1.175981000","69.148.243.171","38.107.216.37","1","90144745","0","49048"
"4818","1.175996000","38.107.216.37","69.148.243.171","90486473","1","65160","44465"
"4819","1.176506000","69.148.243.171","38.107.216.37","1","90160673","0","49048"
"4820","1.176506000","69.148.243.171","38.107.216.37","1","90207009","0","49048"
"4821","1.176515000","38.107.216.37","69.148.243.171","90551633","1","65160","44465"
"4822","1.176741000","69.148.243.171","38.107.216.37","1","90225833","0","49048"
"4823","1.176744000","38.107.216.37","69.148.243.171","90616793","1","65160","44465"
"4824","1.176750000","69.148.243.171","38.107.216.37","1","90259137","0","49048"
"4825","1.176750000","69.148.243.171","38.107.216.37","1","90290993","0","49048"
"4826","1.176753000","38.107.216.37","69.148.243.171","90681953","1","65160","44465"
"4827","1.177514000","69.148.243.171","38.107.216.37","1","90301129","0","49048"
"4828","1.177987000","69.148.243.171","38.107.216.37","1","90318505","0","49048"
"4829","1.178509000","69.148.243.171","38.107.216.37","1","90341673","0","49048"
"4830","1.178509000","69.148.243.171","38.107.216.37","1","90356153","0","49048"
"4831","1.178519000","38.107.216.37","69.148.243.171","90747113","1","65160","44465"
"4832","1.178749000","69.148.243.171","38.107.216.37","1","90373529","0","49048"
"4833","1.178749000","69.148.243.171","38.107.216.37","1","90396697","0","49048"
"4834","1.179256000","69.148.243.171","38.107.216.37","1","90430001","0","49048"
"4835","1.179267000","38.107.216.37","69.148.243.171","90812273","1","65160","44465"
"4836","1.179505000","69.148.243.171","38.107.216.37","1","90471993","0","49048"
"4837","1.180766000","69.148.243.171","38.107.216.37","1","90486473","0","49048"
"4838","1.180766000","69.148.243.171","38.107.216.37","1","90521225","0","49048"
"4839","1.180789000","38.107.216.37","69.148.243.171","90877433","1","65160","44465"
"4840","1.181502000","69.148.243.171","38.107.216.37","1","90551633","0","49048"
"4841","1.181502000","69.148.243.171","38.107.216.37","1","90586385","0","49048"
"4842","1.181511000","38.107.216.37","69.148.243.171","90942593","1","65160","44465"
"4843","1.182511000","69.148.243.171","38.107.216.37","1","90616793","0","49048"
"4844","1.182512000","69.148.243.171","38.107.216.37","1","90661681","0","49048"
"4845","1.182523000","38.107.216.37","69.148.243.171","91007753","1","65160","44465"
"4846","1.183256000","69.148.243.171","38.107.216.37","1","90681953","0","49048"
"4847","1.183261000","38.107.216.37","69.148.243.171","91072913","1","65160","44465"
"4848","1.183482000","69.148.243.171","38.107.216.37","1","90754353","0","49048"
"4849","1.183980000","69.148.243.171","38.107.216.37","1","90812273","0","49048"
"4850","1.183987000","38.107.216.37","69.148.243.171","91138073","1","65160","44465"
"4851","1.183995000","69.148.243.171","38.107.216.37","1","90847025","0","49048"
"4852","1.183995000","69.148.243.171","38.107.216.37","1","90877433","0","49048"
"4853","1.183999000","38.107.216.37","69.148.243.171","91203233","1","65160","44465"
"4854","1.184766000","69.148.243.171","38.107.216.37","1","90904945","0","49048"
"4855","1.184766000","69.148.243.171","38.107.216.37","1","90942593","0","49048"
"4856","1.184776000","38.107.216.37","69.148.243.171","91268393","1","65160","44465"
"4857","1.185234000","69.148.243.171","38.107.216.37","1","90981689","0","49048"
"4858","1.185238000","38.107.216.37","69.148.243.171","91333553","1","65160","44465"
"4859","1.185488000","69.148.243.171","38.107.216.37","1","91007753","0","49048"
"4860","1.185491000","38.107.216.37","69.148.243.171","91398713","1","65160","44465"
"4861","1.185976000","69.148.243.171","38.107.216.37","1","91026577","0","49048"
"4862","1.185977000","69.148.243.171","38.107.216.37","1","91054089","0","49048"
"4863","1.186766000","69.148.243.171","38.107.216.37","1","91072913","0","49048"
"4864","1.186767000","69.148.243.171","38.107.216.37","1","91103321","0","49048"
"4865","1.186788000","38.107.216.37","69.148.243.171","91463873","1","65160","44465"
"4866","1.187247000","69.148.243.171","38.107.216.37","1","91138073","0","49048"
"4867","1.187486000","69.148.243.171","38.107.216.37","1","91164137","0","49048"
"4868","1.187492000","38.107.216.37","69.148.243.171","91529033","1","65160","44465"
"4869","1.188012000","69.148.243.171","38.107.216.37","1","91203233","0","49048"
"4870","1.188502000","69.148.243.171","38.107.216.37","1","91245225","0","49048"
"4871","1.188510000","38.107.216.37","69.148.243.171","91594193","1","65160","44465"
"4872","1.189254000","69.148.243.171","38.107.216.37","1","91268393","0","49048"
"4873","1.189254000","69.148.243.171","38.107.216.37","1","91297353","0","49048"
"4874","1.189262000","38.107.216.37","69.148.243.171","91659353","1","65160","44465"
